region,category,ticker,last_close,trend,mom_3m,mom_6m,vol_20d_ann,rsi14,action,confidence,range_1d,range_1w,range_1m,status,asof_utc,error
asx,Technology,XRO.AX,112.25,-1.0,-0.30257842728573014,-0.3707959425988969,0.20834985771743839,33.63743557752586,SELL,44.0,"{'low': -0.013124807362286512, 'high': 0.013124807362286512}","{'low': -0.029347961453662353, 'high': 0.029347961453662353}","{'low': -0.06014542321939163, 'high': 0.06014542321939163}",OK,2026-01-02T12:20:49.300504+00:00,
asx,Technology,WTC.AX,68.55000305175781,-1.0,-0.24052734955296706,-0.39293301307712836,0.2857773193828255,46.06722281524397,SELL,42.0,"{'low': -0.018002278986419876, 'high': 0.018002278986419876}","{'low': -0.040254319563550855, 'high': 0.040254319563550855}","{'low': -0.08249680613698197, 'high': 0.08249680613698197}",OK,2026-01-02T12:20:50.911042+00:00,
asx,Technology,CPU.AX,34.150001525878906,-1.0,-0.06335703830496031,-0.15365544442879275,0.10850071793487262,42.35425113333558,SELL,50.0,"{'low': -0.006834902779229489, 'high': 0.006834902779229489}","{'low': -0.015283307233959377, 'high': 0.015283307233959377}","{'low': -0.031321459353483176, 'high': 0.031321459353483176}",OK,2026-01-02T12:20:52.656981+00:00,
asx,Technology,NEA.AX,,,,,,,,,,,,NO_DATA,,404 Client Error: Not Found for url: https://query1.finance.yahoo.com/v8/finance/chart/NEA.AX?range=2y&interval=1d&includePrePost=false
asx,Technology,ALU.AX,,,,,,,,,,,,NO_DATA,,404 Client Error: Not Found for url: https://query1.finance.yahoo.com/v8/finance/chart/ALU.AX?range=2y&interval=1d&includePrePost=false
asx,Communication Services,REA.AX,184.77999877929688,-1.0,-0.2022277753446634,-0.21763060161935177,0.17542584791829577,38.65621070384087,SELL,45.0,"{'low': -0.01105078969343925, 'high': 0.01105078969343925}","{'low': -0.024710316959584228, 'high': 0.024710316959584228}","{'low': -0.0506410802592232, 'high': 0.0506410802592232}",OK,2026-01-02T12:20:55.798565+00:00,
asx,Communication Services,CAR.AX,30.8700008392334,-1.0,-0.19420517534214032,-0.17171986959815277,0.19584306844100788,39.55659996799198,SELL,47.0,"{'low': -0.012336953692635927, 'high': 0.012336953692635927}","{'low': -0.02758626709200098, 'high': 0.02758626709200098}","{'low': -0.056535024141669096, 'high': 0.056535024141669096}",OK,2026-01-02T12:20:57.542606+00:00,
asx,Communication Services,SEK.AX,23.3799991607666,1.0,-0.18251752276497257,-0.04454434749383196,0.17974174138671664,43.513835355989244,HOLD,43.0,"{'low': -0.01132266542683186, 'high': 0.01132266542683186}","{'low': -0.025318249580882714, 'high': 0.025318249580882714}","{'low': -0.051886971387116475, 'high': 0.051886971387116475}",OK,2026-01-02T12:20:59.022567+00:00,
asx,Communication Services,TPG.AX,3.869999885559082,-1.0,-0.25,-0.28066918155423737,0.1827542401795929,44.73012687008028,SELL,45.0,"{'low': -0.011512435013280262, 'high': 0.011512435013280262}","{'low': -0.025742587276243362, 'high': 0.025742587276243362}","{'low': -0.05275660488161674, 'high': 0.05275660488161674}",OK,2026-01-02T12:21:00.527686+00:00,
asx,Communication Services,SGP.AX,5.75,1.0,-0.06957926218166588,0.04166667026598092,0.10282170913847537,34.25709985167585,HOLD,49.0,"{'low': -0.006477158851405314, 'high': 0.006477158851405314}","{'low': -0.014483367492806742, 'high': 0.014483367492806742}","{'low': -0.029682070724818075, 'high': 0.029682070724818075}",OK,2026-01-02T12:21:02.826892+00:00,
asx,Health Care,CSL.AX,171.9600067138672,-1.0,-0.17243364805795391,-0.30080505405038516,0.22635865615132578,37.22321581996842,SELL,44.0,"{'low': -0.014259255030552118, 'high': 0.014259255030552118}","{'low': -0.03188466355682038, 'high': 0.03188466355682038}","{'low': -0.06534411553118492, 'high': 0.06534411553118492}",OK,2026-01-02T12:21:04.360797+00:00,
asx,Health Care,RMD.AX,36.16999816894531,-1.0,-0.1402424903417523,-0.08057961289646942,0.23761684310029876,36.99691996108759,SELL,49.0,"{'low': -0.014968454146753442, 'high': 0.014968454146753442}","{'low': -0.03347048099022931, 'high': 0.03347048099022931}","{'low': -0.06859407416397327, 'high': 0.06859407416397327}",OK,2026-01-02T12:21:06.512451+00:00,
asx,Health Care,ANN.AX,35.20000076293945,1.0,0.08207814582956119,0.14995099840134163,0.12876201187938913,43.9735692884347,BUY,69.0,"{'low': -0.008111244327266861, 'high': 0.008111244327266861}","{'low': -0.018137293697878254, 'high': 0.018137293697878254}","{'low': -0.03717039110998155, 'high': 0.03717039110998155}",OK,2026-01-02T12:21:08.584527+00:00,
asx,Health Care,COH.AX,261.010009765625,-1.0,-0.07919982490019561,-0.13429515832296846,0.1323949779768421,38.179071129407745,SELL,51.0,"{'low': -0.008340099680014227, 'high': 0.008340099680014227}","{'low': -0.018649029823636056, 'high': 0.018649029823636056}","{'low': -0.038219138087142175, 'high': 0.038219138087142175}",OK,2026-01-02T12:21:10.068704+00:00,
asx,Health Care,PME.AX,222.6300048828125,-1.0,-0.29098724559613853,-0.29143858614455387,0.31599292109195254,36.197922406284455,SELL,41.0,"{'low': -0.019905682982527692, 'high': 0.019905682982527692}","{'low': -0.04451046028749268, 'high': 0.04451046028749268}","{'low': -0.09121929902722747, 'high': 0.09121929902722747}",OK,2026-01-02T12:21:11.789251+00:00,
asx,Energy,WDS.AX,23.65999984741211,1.0,0.028695645539656978,-0.007550348323141387,0.1859732896146096,42.96985764417147,HOLD,45.0,"{'low': -0.01171521606716305, 'high': 0.01171521606716305}","{'low': -0.026196019497274323, 'high': 0.026196019497274323}","{'low': -0.053685864410537534, 'high': 0.053685864410537534}",OK,2026-01-02T12:21:13.419613+00:00,
asx,Energy,STO.AX,6.150000095367432,-1.0,-0.07934127942979408,-0.20439843723253093,0.19306342090190232,43.87950446634233,SELL,45.0,"{'low': -0.012161852356424354, 'high': 0.012161852356424354}","{'low': -0.02719472860128086, 'high': 0.02719472860128086}","{'low': -0.05573260901419166, 'high': 0.05573260901419166}",OK,2026-01-02T12:21:14.849860+00:00,
asx,Energy,BPT.AX,1.1699999570846558,-1.0,0.012987000923330161,-0.1490909403020685,0.17153493946357515,50.175321885844454,SELL,48.0,"{'low': -0.010805685499503313, 'high': 0.010805685499503313}","{'low': -0.024162247320373177, 'high': 0.024162247320373177}","{'low': -0.049517871737360636, 'high': 0.049517871737360636}",OK,2026-01-02T12:21:17.149775+00:00,
asx,Energy,ORG.AX,11.34000015258789,1.0,-0.07579464307088402,-0.008741209044000664,0.16257380489611997,43.05328900866161,HOLD,46.0,"{'low': -0.010241187082111152, 'high': 0.010241187082111152}","{'low': -0.022899990485893258, 'high': 0.022899990485893258}","{'low': -0.04693101500997828, 'high': 0.04693101500997828}",OK,2026-01-02T12:21:19.958685+00:00,
asx,Energy,AGL.AX,9.329999923706055,-1.0,0.026402614641303,-0.04110993189608503,0.11679315019593872,51.98452961300971,HOLD,45.0,"{'low': -0.007357276910815917, 'high': 0.007357276910815917}","{'low': -0.01645137130187405, 'high': 0.01645137130187405}","{'low': -0.033715278352564805, 'high': 0.033715278352564805}",OK,2026-01-02T12:21:21.415416+00:00,
asx,Utilities,APA.AX,9.039999961853027,1.0,0.007803756158349051,0.08393282931151114,0.15802491529437404,41.53571551382645,HOLD,50.0,"{'low': -0.009954633971927642, 'high': 0.009954633971927642}","{'low': -0.02225923825235894, 'high': 0.02225923825235894}","{'low': -0.04561786369193732, 'high': 0.04561786369193732}",OK,2026-01-02T12:21:23.066385+00:00,
asx,Utilities,AST.AX,,,,,,,,,,,,NO_DATA,,404 Client Error: Not Found for url: https://query1.finance.yahoo.com/v8/finance/chart/AST.AX?range=2y&interval=1d&includePrePost=false
asx,Utilities,SKI.AX,,,,,,,,,,,,NO_DATA,,404 Client Error: Not Found for url: https://query1.finance.yahoo.com/v8/finance/chart/SKI.AX?range=2y&interval=1d&includePrePost=false
asx,Utilities,MCY.AX,5.630000114440918,-1.0,-0.05218854205274215,-0.020869545314622928,0.28091890026845995,54.273146612816035,HOLD,41.0,"{'low': -0.017696227349716688, 'high': 0.017696227349716688}","{'low': -0.039569967299257464, 'high': 0.039569967299257464}","{'low': -0.0810943013452245, 'high': 0.0810943013452245}",OK,2026-01-02T12:21:25.977878+00:00,
asx,Utilities,MGR.AX,2.0399999618530273,-1.0,-0.11688311152148012,-0.07272731016490008,0.1288277181492188,35.543535142780655,SELL,54.0,"{'low': -0.008115383433208457, 'high': 0.008115383433208457}","{'low': -0.018146549020129736, 'high': 0.018146549020129736}","{'low': -0.037189358876268355, 'high': 0.037189358876268355}",OK,2026-01-02T12:21:27.260833+00:00,
us,Technology,AAPL,271.86,1.0,0.06423957721667661,0.27970250423649046,0.09746877818694702,45.64263092031649,BUY,73.0,"{'low': -0.006139955897047115, 'high': 0.006139955897047115}","{'low': -0.01372935876464805, 'high': 0.01372935876464805}","{'low': -0.028136812661908893, 'high': 0.028136812661908893}",OK,2026-01-02T12:21:29.694749+00:00,
us,Technology,MSFT,483.62,1.0,-0.06944257374304907,-0.015211061108961643,0.177053645794751,46.023548010543614,HOLD,45.0,"{'low': -0.011153331321195906, 'high': 0.011153331321195906}","{'low': -0.02493960700977159, 'high': 0.02493960700977159}","{'low': -0.051110985030302064, 'high': 0.051110985030302064}",OK,2026-01-02T12:21:31.974758+00:00,
us,Technology,NVDA,186.5,1.0,-0.003952146977141635,0.18600953895071548,0.30661502041019495,53.39005349916114,BUY,65.0,"{'low': -0.019314930767675462, 'high': 0.019314930767675462}","{'low': -0.04318949817722453, 'high': 0.04318949817722453}","{'low': -0.08851213228570431, 'high': 0.08851213228570431}",OK,2026-01-02T12:21:34.206097+00:00,
us,Technology,AVGO,346.1,1.0,0.03812351900176991,0.282326787699148,0.5377581851345649,43.95397169828973,BUY,59.0,"{'low': -0.033875581508464044, 'high': 0.033875581508464044}","{'low': -0.07574810303026047, 'high': 0.07574810303026047}","{'low': -0.15523741647318282, 'high': 0.15523741647318282}",OK,2026-01-02T12:21:36.254825+00:00,
us,Technology,ORCL,194.91,1.0,-0.3255942700944604,-0.15249152100182617,0.5947936889786074,42.53211415811094,HOLD,26.0,"{'low': -0.03746848053400226, 'high': 0.03746848053400226}","{'low': -0.08378206948765667, 'high': 0.08378206948765667}","{'low': -0.17170214822204474, 'high': 0.17170214822204474}",OK,2026-01-02T12:21:38.722849+00:00,
us,Communication Services,GOOGL,313.0,1.0,0.27807268272764385,0.752127183161666,0.22338972008838023,56.86878403318766,BUY,69.0,"{'low': -0.014072229638147235, 'high': 0.014072229638147235}","{'low': -0.031466462065884486, 'high': 0.031466462065884486}","{'low': -0.06448705751361074, 'high': 0.06448705751361074}",OK,2026-01-02T12:21:40.860569+00:00,
us,Communication Services,META,660.09,-1.0,-0.07980873783700893,-0.07494709699118518,0.21698645599560512,52.251357594782625,SELL,51.0,"{'low': -0.01366886191508646, 'high': 0.01366886191508646}","{'low': -0.030564504417191284, 'high': 0.030564504417191284}","{'low': -0.06263859438978275, 'high': 0.06263859438978275}",OK,2026-01-02T12:21:43.029601+00:00,
us,Communication Services,NFLX,93.76,-1.0,-0.1992484413698864,-0.2702706909702224,0.2843415737291021,34.47667437190401,SELL,42.0,"{'low': -0.017911835511522402, 'high': 0.017911835511522402}","{'low': -0.04005208180555881, 'high': 0.04005208180555881}","{'low': -0.08208234206714946, 'high': 0.08208234206714946}",OK,2026-01-02T12:21:45.143479+00:00,
us,Communication Services,TMUS,203.04,-1.0,-0.12955500300094314,-0.1448066717210007,0.18957098846339127,49.771991227439436,SELL,48.0,"{'low': -0.01194184979206733, 'high': 0.01194184979206733}","{'low': -0.026702787912154278, 'high': 0.026702787912154278}","{'low': -0.05472443060994119, 'high': 0.05472443060994119}",OK,2026-01-02T12:21:47.097806+00:00,
us,Communication Services,DIS,113.77,-1.0,0.007259849490925063,-0.07489022605301676,0.16526723391118528,59.86877191942169,SELL,53.0,"{'low': -0.010410857161822305, 'high': 0.010410857161822305}","{'low': -0.023279384317875202, 'high': 0.023279384317875202}","{'low': -0.04770854099342383, 'high': 0.04770854099342383}",OK,2026-01-02T12:21:49.807255+00:00,
us,Health Care,LLY,1074.68,1.0,0.3019795982651259,0.3790678575094961,0.21208242744112318,62.55395321561824,BUY,69.0,"{'low': -0.013359937153716965, 'high': 0.013359937153716965}","{'low': -0.029873727650836193, 'high': 0.029873727650836193}","{'low': -0.061222923286760864, 'high': 0.061222923286760864}",OK,2026-01-02T12:21:52.253200+00:00,
us,Health Care,JNJ,206.95,1.0,0.1123353937113678,0.3303548470043711,0.19059533495427713,54.83409495617636,BUY,70.0,"{'low': -0.012006377555668416, 'high': 0.012006377555668416}","{'low': -0.026847076378002346, 'high': 0.026847076378002346}","{'low': -0.05502013397106939, 'high': 0.05502013397106939}",OK,2026-01-02T12:21:55.036250+00:00,
us,Health Care,UNH,330.11,-1.0,-0.05222509331036462,0.07331902718168815,0.26339141782725073,49.734059139931375,HOLD,46.0,"{'low': -0.016592099739038333, 'high': 0.016592099739038333}","{'low': -0.03710106290594624, 'high': 0.03710106290594624}","{'low': -0.0760345529924002, 'high': 0.0760345529924002}",OK,2026-01-02T12:21:57.344381+00:00,
us,Health Care,ABBV,228.49,1.0,-0.06502168753580484,0.19785058977719538,0.17343087807732496,52.31657889100706,BUY,69.0,"{'low': -0.010925118406003945, 'high': 0.010925118406003945}","{'low': -0.02442930741805897, 'high': 0.02442930741805897}","{'low': -0.050065182071868365, 'high': 0.050065182071868365}",OK,2026-01-02T12:21:59.306284+00:00,
us,Health Care,MRK,105.26,1.0,0.1678686341950517,0.27758223085325895,0.21837170969707678,64.37969778094165,BUY,69.0,"{'low': -0.013756124695963262, 'high': 0.013756124695963262}","{'low': -0.030759629927137485, 'high': 0.030759629927137485}","{'low': -0.06303848268850304, 'high': 0.06303848268850304}",OK,2026-01-02T12:22:01.896080+00:00,
us,Energy,XOM,120.34,1.0,0.07456022859183853,0.08365601080594343,0.1931367137625156,58.872264890697,HOLD,49.0,"{'low': -0.01216646937266386, 'high': 0.01216646937266386}","{'low': -0.027205052563445617, 'high': 0.027205052563445617}","{'low': -0.055753766840594035, 'high': 0.055753766840594035}",OK,2026-01-02T12:22:04.575874+00:00,
